"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADSSL1",0.228548107718803,7.72100006852522,1.58064771938621,0.114602510235241,0.37283261012595,-4.74285670940293
"CCDC46",-0.168502396845852,7.56634134444628,-1.5800685304678,0.114735090828271,0.373031491216584,-4.74370172218186
"CCNT1",0.180359504797561,6.85566866885435,1.58002679651502,0.114744648709727,0.373031491216584,-4.74376259846877
"GRIP1",-0.270230625572227,5.47500047980414,-1.57867941415043,0.115053563063588,0.373903781162894,-4.74572713729992
"CHST1",0.241152959385959,6.50675831019914,1.57840651399412,0.115116210719173,0.373975414717313,-4.7461248350461
"CAV3",-0.183712741724597,0.78541853777632,-1.57806579519169,0.115194464768307,0.374050970094228,-4.74662126953131
"MYOF",0.167205318833746,12.1466088034737,1.57778284702416,0.115259482329179,0.374050970094228,-4.74703345040915
"CCDC84",-0.150768451555741,7.27787859031395,-1.5777749007084,0.115261308700046,0.374050970094228,-4.74704502504064
"LOC100216545",-0.158529795061742,6.17892146624101,-1.5774277631182,0.115341116636458,0.374178120543069,-4.74755061059394
"FHL2",0.246256656890738,9.92008825175258,1.57692351960599,0.11545712131375,0.374228717789218,-4.74828481569349
"FAM183A",-0.373856046857156,3.55511795423144,-1.57631022657163,0.115598337581503,0.374228717789218,-4.74917748969042
"C17orf72",-0.250385761500573,6.68215509186621,-1.57624469911487,0.11561343392173,0.374228717789218,-4.74927284736951
"PLEKHG4",-0.238059807392028,8.37868585823307,-1.57615117722155,0.115634982366347,0.374228717789218,-4.7494089366682
"SMIM5",-0.276001958537771,5.57301329868079,-1.57582471085627,0.115710228534803,0.374228717789218,-4.74988393478846
"C12orf48",0.187321093833128,6.71240785772844,1.57559383349139,0.115763466009524,0.374228717789218,-4.75021979521382
"PLEKHH2",-0.219731109497596,8.1785144125658,-1.57550992086859,0.115782820010754,0.374228717789218,-4.75034185197964
"DSP",0.276334407095482,12.4035767730433,1.57543238579121,0.115800705332675,0.374228717789218,-4.75045462644475
"CCDC69",-0.176044555227188,9.61813935648797,-1.57534604784197,0.115820623811042,0.374228717789218,-4.75058019819181
"TLR5",-0.166379411501998,7.54116726560575,-1.57527711085056,0.115836529764694,0.374228717789218,-4.75068045672846
"LINC00882",-0.158302687502491,1.27161226118272,-1.57526679752602,0.115838909524357,0.374228717789218,-4.75069545554229
"PRRG4",0.1613423792174,7.81158985048306,1.57524340347302,0.115844307754295,0.374228717789218,-4.75072947748448
"LINC00899",-0.156712848580671,4.96815694478612,-1.57478640744215,0.115949800394432,0.374322745704542,-4.75139398599915
"MYL3",-0.192766510292514,1.70052749428026,-1.57468571965119,0.115973053270951,0.374322745704542,-4.75154036840153
"NXPH3",-0.201575583963717,5.38663368681641,-1.57438449334182,0.116042640539403,0.374322745704542,-4.75197824338231
"PPP1R13L",0.153945596476515,9.60546896077777,1.57430157213403,0.116061802213352,0.374322745704542,-4.75209876652275
"WNT2",-0.248570054316069,7.04310299819214,-1.57423741328472,0.116076629938346,0.374322745704542,-4.7521920149076
"FIRRE",0.310758703923729,2.74550125913198,1.57395045685703,0.116142966594735,0.374381624340528,-4.752609030984
"C9orf173",-0.285368335027278,2.30868976700228,-1.57358015358894,0.11622861497003,0.374381624340528,-4.75314705874442
"ADCY9",-0.163567745331563,9.58238413833477,-1.5735562092695,0.116234154825014,0.374381624340528,-4.7531818440499
"LILRB1",-0.205015745723282,7.42743559566526,-1.57345537751984,0.116257485951565,0.374381624340528,-4.75332832245216
"RARRES3",-0.245153319639606,10.1907472728204,-1.57310693972609,0.116338138241346,0.374510399581543,-4.75383442696472
"TEKT4P2",-0.199717129868778,7.5610030787169,-1.57278681789471,0.116412275143469,0.374570333589733,-4.75429930492353
"SIGLEC7",-0.208779864126322,5.96710748492583,-1.5725613351593,0.116464516954026,0.374570333589733,-4.75462669268527
